"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","40660","vector_add.exe","127.0.0.1","<unnamed>::vector_add(const float *, const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","8.6","GPU Speed Of Light Throughput","DRAM Frequency","Ghz","9.24",
"0","40660","vector_add.exe","127.0.0.1","<unnamed>::vector_add(const float *, const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","8.6","GPU Speed Of Light Throughput","SM Frequency","Ghz","1.70",
"0","40660","vector_add.exe","127.0.0.1","<unnamed>::vector_add(const float *, const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","8.6","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","507,130",
"0","40660","vector_add.exe","127.0.0.1","<unnamed>::vector_add(const float *, const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","8.6","GPU Speed Of Light Throughput","Memory Throughput","%","91.98",
"0","40660","vector_add.exe","127.0.0.1","<unnamed>::vector_add(const float *, const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","8.6","GPU Speed Of Light Throughput","DRAM Throughput","%","91.98",
"0","40660","vector_add.exe","127.0.0.1","<unnamed>::vector_add(const float *, const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","8.6","GPU Speed Of Light Throughput","Duration","us","297.50",
"0","40660","vector_add.exe","127.0.0.1","<unnamed>::vector_add(const float *, const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","8.6","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","15.93",
"0","40660","vector_add.exe","127.0.0.1","<unnamed>::vector_add(const float *, const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","8.6","GPU Speed Of Light Throughput","L2 Cache Throughput","%","32.84",
"0","40660","vector_add.exe","127.0.0.1","<unnamed>::vector_add(const float *, const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","8.6","GPU Speed Of Light Throughput","SM Active Cycles","cycle","485,890.99",
"0","40660","vector_add.exe","127.0.0.1","<unnamed>::vector_add(const float *, const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","8.6","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","12.38",
"0","40660","vector_add.exe","127.0.0.1","<unnamed>::vector_add(const float *, const float *, float *, int)","1","7","(256, 1, 1)","(65536, 1, 1)","0","8.6","SpeedOfLight","","","","SOLBottleneck","INF","This workload is utilizing greater than 80.0% of the available compute or memory performance of this device. To further improve performance, work will likely need to be shifted from the most utilized to another unit. Start by analyzing DRAM in the Memory Workload Analysis section.","",""
